County,lapophalf,lahunvhalf,lapop1,lahunv1,lapop10,lahunv10,lapop20,lahunv20
Adams County - TOTAL,12383,215,8641,137,1672,16,315,6
Asotin County - TOTAL,14932,236,5713,44,572,11,174,4
Benson County - TOTAL,119815,1614,60859,466,292,0,0,0
Chelan County - TOTAL,52489,793,32926,401,3663,39,231,4
Clallam County - TOTAL,59299,1383,43498,780,4217,65,100,2
Clark County - TOTAL,297737,3543,156220,1075,145,2,0,0
Columbia County - TOTAL,3485,114,2004,62,373,9,2,0
Cowlitz County - TOTAL,81552,1598,55328,589,1079,7,0,0
Douglas County - TOTAL,34857,430,26311,339,3662,48,57,1
Ferry County - TOTAL,6705,119,6428,105,3669,60,1426,29
Franklin County - TOTAL,52300,319,35786,200,1283,9,53,0
Garfield County - TOTAL,1501,13,986,7,281,2,7,0
Grant County - TOTAL,66416,903,44655,470,4861,54,77,1
Grays Harbor County - TOTAL,56381,1051,37397,650,3273,75,806,17
Island County - TOTAL,68265,776,52256,504,0,0,0,0
Jefferson County - TOTAL,25590,396,21061,228,3180,28,583,8
King County - TOTAL,1134917,20832,398742,4524,736,32,74,4
Kitsap County - TOTAL,210513,3439,148150,1430,218,6,0,0
Kittitas County - TOTAL,34857,445,25614,229,2191,19,19,0
Klickitat County - TOTAL,15460,189,12982,126,2397,27,477,7
Lewis County - TOTAL,63163,1284,50220,783,4978,44,5,0
Lincoln County - TOTAL,7452,60,6950,56,4165,41,530,3
Mason County - TOTAL,57208,707,50140,464,872,4,0,0
Okanogan County - TOTAL,31001,442,23261,276,3889,43,100,2
Pacific County - TOTAL,18230,549,13852,361,911,14,6,0
Pend Oreille County - TOTAL,11104,195,10025,172,3348,45,20,0
Pierce County - TOTAL,603126,9812,334210,3478,935,24,81,1
San Juan County - TOTAL,13374,231,11285,186,0,0,0,0
Skagit County - TOTAL,94796,1360,66970,715,1614,45,31,2
Skamania County - TOTAL,9683,187,7847,115,468,5,36,0
Snohomish County - TOTAL,499787,6508,258335,2298,616,8,20,0
Spokane County - TOTAL,316430,5582,148344,1556,3587,68,0,0
Stevens County - TOTAL,37089,552,32581,422,9527,126,715,9
Thurston County - TOTAL,521700,9031,287318,3390,25789,388,1430,18
Wahkiakum County - TOTAL,3970,21,3883,21,603,1,NULL,NULL
Walla Walla County - TOTAL,45137,931,24807,277,3715,31,403,5
Whatcom County - TOTAL,161278,3472,116572,1759,3271,39,100,0
Whitman County - TOTAL,31873,1032,15755,388,4755,65,523,7
Yakima County - TOTAL,167269,2360,100457,853,4946,47,304,3
