X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
1278282.15595011,147750.865057021,1,350001,0,350,La Familia,La Familia,22855 PACIFIC HWY S,98198,Des Moines,(206) 683-4400,Seating 51-150,III, , , , ," 
"
1279905.35086644,245017.723016351,2,350003,0,350,#807 Tutta Bella,#807 Tutta Bella,2746 NE 45TH ST,98105,Seattle,(206) 722-6400,Seating 0-12,III, , , , ," 
"
1270763.86685286,220796.903675944,3,350004,0,350,"Levy Restaurants @ Lumen Field (Cart #9; Kc919)",Levy Restaurants @ Lumen Field,800 OCCIDENTAL AVE S,98134,Seattle,(206) 808-8310,Mobile Food Unit,I, , , , ," 
"
1309932.28293844,133628.987132847,4,350005,0,350,Taqueria El Rebano,Taqueria El Rebano,720 WASHINGTON AVE N APT #108,98032,Kent,(206) 501-6878,Mobile Food Unit,III, , , , ," 
"
1302186.21214452,280964.262015522,5,350006,0,350,Pinkabella Cupcakes,Pinkabella Cupcakes,9924 NE 185TH ST STE 106,98011,Bothell,(206) 465-8990,Seating 13-50,II, , , , ," 
"
1270968.89892311,233044.534364358,6,350008,0,350,100 Lb Clam,100 Lb Clam,1001 FAIRVIEW AVE N Unit 1700A,98109,Seattle,(206) 369-2978,Seating 0-12,III, , , , ," 
"
1310171.10890436,181165.11778219,7,350009,0,350,100 Percent Nutricion,100 Percent Nutricion,3700 NE 4TH ST,98056,Renton,(206) 432-7381,Seating 0-12,I, , , , ," 
"
1269207.07009768,224876.73573935,8,350010,0,350,1000 Spirits,1000 Spirits,1225 1ST AVE,98101,Seattle,(206) 612-2660,Seating 51-150,III, , , , ," 
"
1299006.52296586,176697.833737776,9,350011,0,350,101 Grocery,101 Grocery,536 RAINIER AVE S,98057,Renton,(253) 740-1210,Grocery Store-no seating,I, , , , ," 
"
1268617.19398086,233129.928222433,10,350012,0,350,1101 Westlake Ave N 2Nd Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
1268617.19398086,233129.928222433,11,350013,0,350,1101 Westlake Ave N 3Rd Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
1268617.19398086,233129.928222433,12,350014,0,350,1101 Westlake Ave N 4Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
1268617.19398086,233129.928222433,13,350015,0,350,1101 Westlake Ave N 5Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
1268617.19398086,233129.928222433,14,350016,0,350,1101 Westlake Ave N 6Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
1305940.23186745,229340.222219184,15,350017,0,350,112Th Deli,112Th Deli,1120 112TH AVE NE #125,98004,Bellevue,(206) 498-2652,Seating 13-50,III, , , , ," 
"
1264490.90597361,185610.280479774,16,350018,0,350,"116 Two Zero; Llc. / Salmon Creek Cafe",Salmon Creek Cafe Inc.,11620 AMBAUM BL SW,98146,Seattle,(760) 985-6579,Seating 13-50,III, , , , ," 
"
1295011.92006269,279600.816579685,17,350019,0,350,11Th Frame Restaurant & Lounge,11Th Frame Restaurant & Lounge,7638 NE BOTHELL WAY,98028,Kenmore,(425) 486-5555,Seating 51-150,III, , , , ," 
"
1268267.88595244,266039.906693682,18,350020,0,350,125Th St Grill,125Th St Grill,12255 AURORA AVE N,98133,Seattle,(206) 363-8950,Seating 51-150,III, , , , ," 
"
1278534.80209836,164517.863347098,19,350021,0,350,13 Coins,13 Coins,18000 PACIFIC HWY S,98188,Seattle,(206) 243-9500,Seating 51-150,III, , , , ," 
"
1303120.8329787,228527.6703666,20,350022,0,350,13 Coins Bellevue,13 Coins Bellevue,900 BELLEVUE WAY NE,98004,Bellevue,(206) 382-1313,Seating > 250,III, , , , ," 
"
1270920.91903219,221686.544285104,21,350023,0,350,13 Coins Restaurant,13 Coins Restaurant,255 S KING ST,98104,Seattle,(206) 382-1313,Seating 151-250,III, , , , ," 
"
1272432.44389628,236970.350987777,22,350024,0,350,14 Carrot Cafe,14 Carrot Cafe,2305 EASTLAKE AVE E,98102,Seattle,(206) 324-1442,Seating 51-150,III, , , , ," 
"
1270250.68513644,219615.527757853,23,350025,0,350,141 Hot Dog,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
